title,cover_image,ean,publication_date,summary,book_format,authors
La Promesse du souffle,9782810208272_C.jpg,9782810208272,21/05/2025,"1442, période Joseon, Corée. Dal-Rae est une paysanne promise à une brute. Sa rencontre avec Kim Ban-Ryu, jeune érudit en retraite près de son village va bouleverser son existence. Son intelligence, sa vivacité et les hasards de la vie vont faire d'elle un des rouages essentiels au projet du roi Sejong : l'invention de l'alphabet coréen et sa diffusion…",0x0cm,"Anne Idoux (Auteur), Carine Borgi (Illustration de)"
Le meilleur voyage de toute ma vie,9782810209255_C.jpg,9782810209255,21/05/2025,"Collégien sage, sans histoire mais souvent victime de brimades de la part de ses camardes, le jeune Dan se sent invisible. Il n'a que peu d'attentes lorsqu'il part en voyage scolaire en Europe. Une série de premières expériences commencent alors à le changer  : premier Fanta, première fondue, premier vol de vélo à des punk rockers allemands... et premier amour.",0x0cm,"Marc Lesage (Traducteur), Dan Santat (Texte et illustration de)"
Et soudain le futur,9782810208098_C.jpg,9782810208098,14/05/2025,"Sommes-nous condamnés à subir les crises environnementales et économiques de notre temps, ou n'existe-t-il pas une trajectoire plus désirable et émancipatrice ? Cette trajectoire se nomme « décroissance ». En intégrant une communauté autonome vivant sans technologie sur l'île de la Cité en plein Paris, Mila et Carl vont en découvrir tous les aspects et bienfaits !Avec les interventions, corrections et une postface Un future désirable pour nos société ? signés par : François Graner, physicien, Roland Lehoucq, astrophysicien, Emmanuelle Rio, physicienne,et Aurélien Ficot, ingénieur en sciences environnementales travaillant dans un café-librairie décroissant.",21.6x28.4cm,"Dominique Mermoux (Auteur + illustrateur), Mathieu Burniat (Texte de)"
L'Orangeraie,9782810206025_C.jpg,9782810206025,14/05/2025,"Amed et Aziz, frères jumeaux de neuf ans, vivent paisiblement à l'ombre des orangers. Mais un jour, un obus traverse le ciel, tuant leurs grands-parents et s'emparant de leur enfance. Un des chefs du village demande alors à leur père de sacrifier un de ses fils derrière les lignes ennemies, en hommage aux défunts. L'amour d'une mère peut cependant influer sur le destin.",21.6x28.2cm,"Pierre Lecrenier (Illustrateur), Larry Tremblay (Auteur)"
Elvira & Otto T2,9782810209262_C.jpg,9782810209262,14/05/2025,"Elvira et Otto peuvent enfin réaliser leur rêve de vivre dans une grande ville : ils se voient déjà prendre le métro et vivre dans leur propre appartement. Avec l'aide de Siri, leur insecte de confiance, ils commencent à planifier leur voyage à Hambourg. Mais sans argent ni documents, celui-ci risque cependant de se terminer à l'aéroport de Nairobi…",21.6x28.3cm,"Martin Baltscheit (Auteur + illustrateur), Max Fiedler (Auteur + illustrateur), Anne Bideault (Traducteur)"
Caballero Bueno - Une enquête de l'inspecteur Valverde,9782810208036_C.jpg,9782810208036,23/04/2025,"Au début du XXe siècle, la compagnie anglaise Williamson & Balfour exploite une partie de l'île de Pâques, gouvernée par le Chili. En 1933, Anthony Wilcox, un membre de la compagnie, y est sauvagement assassiné. Après des semaines passées à la recherche du coupable, le président chilien dépêche sur l'île l'un des meilleurs inspecteurs du pays : Guillermo Valverde.",24x32cm,"Thomas Gilbert (Auteur + illustrateur), Thomas Lavachery (Scénariste)"
La Force de vivre,9782810201624_C.jpg,9782810201624,23/04/2025,"Dès leur rencontre, une amitié forte va naître entre Cyril et Laurent. De celles qui font grandir et changer pour le mieux. L'un, extraverti et solaire, est l'opposé de l'autre, timide et sombre. Le lien qui les unit est pourtant indicible et inexplicable.
Laurent Astier raconte comment ce lien d'amitié perdure malgré la disparition de son ami emporté par la maladie.",21.8x28.2cm,Laurent Astier (Auteur + illustrateur)
Vipère au poing,9782810200382_C.jpg,9782810200382,23/04/2025,"Jean Rezeau, dit Brasse-Bouillon, vit avec ses frères auprès d'une mère odieuse et acerbe qu'ils surnomment Folcoche. En grande partie autobiographique, le roman d'Hervé Bazin fut plusieurs fois adapté au cinéma. Frédéric Rébéna s'empare aujourd'hui de cette œuvre transgénérationnelle pour une première interprétation pleine de sensibilité en bande dessinée.",21.7x28.3cm,"Frédéric Rébéna (Auteur + illustrateur), Hervé Bazin (D'après l’œuvre de)"
La Forêt magique de Hoshigahara T4,9782810207817_C.jpg,9782810207817,09/04/2025,"Suite à l'impitoyable incendie qui a ravagé la forêt de Hoshigahara, la nature semble avoir du mal à reprendre ses droits et les habitants de la ville se méfient plus que jamais des environs. Malgré la situation complexe et le traumatisme ambiant, Sôichi parviendra-t-il à continuer de protéger la faune et la flore locales ?",15.3x21cm,"Hisae Iwaoka (Texte et illustration de), Blanche Delaborde (Traduction de)"
Le Gardien des étoiles T1,9782810207664_C.jpg,9782810207664,09/04/2025,"Deux passionnés tiennent un petit planétarium privé dans lequel les visiteurs égarés en prennent plein la vue et trouvent par la même occasion les réponses nécessaires pour avancer dans leur vie. Dans cette histoire chaleureuse où chacun s'écoute et prend en compte son prochain, on prend plaisir à explorer la voûte céleste et le for intérieur de chacun.",15.1x20.9cm,"Isuzu Uemura (Texte et illustration de), Anaïs Koechlin (Traduction de)"
